nombre;categoria;direccion;ciudad;cp;telefono;web;rating;reviews;lat;lng
CliniCan;Farmacia veterinaria;Catarino Benavides # 62 pte;México;;+52 872 295 9149;;4.9;0;;
K9 MARBELLA;Adiestrador canino;;;;664 60 03 61;https://www.k9marbella.com/;4.9;0;;
Top Dog Hotel;Guardería canina;Paraje Balsamora;Murcia;;669 15 87 36;http://www.topdoghotel.es/;4.9;0;;
Residencia Canina Sierracan;Guardería canina;M-104, PK 12, 100;Madrid;;687 80 87 20;http://www.sierracan.es/;4.9;0;;
UpDog Peluquería y Guardería Canina;Peluquero de mascotas;C. de Gaztambide, 50;28015 Madrid;;626 56 46 27;https://www.updog.es/peluqueria-y-guarderia-canina-chamberi/;4.9;0;;
Pets-stays;Cuidador de mascotas;Calle del Príncipe de Vergara;28002 Madrid;;685 21 07 28;https://www.pets-stays.com/;4.9;0;;
ABCDogs Camp Hotel;Guardería canina;Can Tries;Girona;;695 30 95 89;http://www.abcdogs.es/;4.9;0;;
Canitos Adiestramiento Canino;Adiestrador canino;;;;+52 33 2550 0252;;4.9;0;;
Peluquería canina Canituning;Peluquero de mascotas;local;50012 Zaragoza;;976 92 33 32;;4.9;0;;
Residencia Canina ecoCan;Guardería canina;Diseminado Poligon 2, 51;Valencia;;656 37 28 00;http://www.ecocan.es/;4.9;0;;
Limpitos y Coleando | Peluquería Canina en Valencia;Peluquero de mascotas;Carrer de Calixt III, 15;Valencia;;654 95 37 12;http://limpitosycoleando.es/;4.9;0;;
Vibras Caninas;Peluquero de mascotas;C. de Martín de Vargas, 11, Loc Esquina;28005 Madrid;;623 53 59 70;https://instagram.com/vibrascaninas?igshid=YmMyMTA2M2Y=;4.9;0;;
Evolucan K9 Integral services sl;Adiestrador canino;Av. la Prensa, 4;41007 Sevilla;;614 21 48 31;https://www.evolucank9.es/;4.9;0;;
TopKnot - Centro Estético Canino;Peluquero de mascotas;C. de Joaquín María López, 24;28015 Madrid;;722 10 61 91;http://topknot.es/;4.9;0;;
Clínica veterinària GATiGOS;Veterinario;Carr. de Maçanet, 6;Girona;;972 53 57 17;;4.9;0;;
Ca la Veterinària;Veterinario;Carrer de la Riera de Bugantó, 10;17003 Girona;;682 72 40 61;http://www.calaveterinaria.cat/;4.9;0;;
Animals Clayser Malaga;Tienda de animales;Ctra. de la Azucarera Intelhorce, 36;29004 Málaga;;640 01 51 99;;4.9;0;;
Chester House Centro Canino – Guardería y Peluquería Canina en Madrid;Peluquero de mascotas;C/ del Padre Claret, 10B;28002 Madrid;;614 07 31 10;https://chesterhouse.es/;4.9;0;;
Patitas Peluquería Canina Málaga;Peluquero de mascotas;C. Paco Miranda, 8;29013 Málaga;;693 29 62 43;https://patitasmalaga.es/;4.9;0;;
Peluquería Canina Ángel;Peluquero de mascotas;Carrer d' Alexandre VI, 3;Valencia;;722 70 00 11;;4.9;0;;
Adiestramiento y Guardería Canina Lesacan;Tienda de productos para mascotas;;;;633 88 01 21;https://lesacan.es/;4.9;0;;
Clinyvet;Veterinario;Av. Málaga Oloroso, 8;29014 Málaga;;952 26 12 18;http://www.facebook.com/CLINYVET;4.9;0;;
Taily Mood Adiestramiento Canino;Adiestrador canino;;;;616 15 03 31;https://tailymood.com/;4.9;0;;
Pet n´Love Lauro Villar;Tienda de productos para mascotas;Gobernación entre Av Lauro Villar y División del norte;México;;+52 833 705 2509;;4.9;0;;
Peluquería canina la Marquesa;Peluquero de mascotas;Pl. Dr. Gómez Ulla, 10, bajo;03013 Alicante;;686 55 23 72;;4.9;0;;
Hotel de Gossos Mas la Badosa;Guardería canina;Mas la Badosa;Girona;;650 31 82 98;http://www.labadosa.cat/;4.9;0;;
Guau Studio Peluqueria Canina;Peluquero de mascotas;C. de Sta. Feliciana, 19;28010 Madrid;;667 88 54 52;http://guaustudiomadrid.es/;4.9;0;;
Criadero Pets de Cardecan;Criador canino;C. Virgen de la Laguna, 4;Sevilla;;651 78 61 60;https://sites.google.com/d/1zCE-cVeK2eWxmOM_8qO9e0G3JVfIj17i/p/15wtkdsXzTqM594KFdkbXA8x2r3UEnAPw/edit;4.9;0;;
Guardería y Adiestramiento Canino en Murcia -CORDY SERVICIOS CANINOS;Adiestrador canino;PARAJE LA PILICA, 42, Antigua Granja Escuela Los Limoneros, 30565;Murcia;;667 29 24 30;https://cordyservicioscaninos.com.es/;4.9;0;;
Delicias Animals;Tienda de animales;C. Manuel Altolaguirre, 16, Loc 3;29003 Málaga;;744 70 88 06;https://deliciasanimals.com/;4.9;0;;
hundsfutter Madrid;Tienda de productos para mascotas;C. del Tesoro, 13;28004 Madrid;;659 60 23 13;http://www.hundsfutter.eu/;4.9;0;;
AliVet Clínica Veterinaria (Veterinario Alicante);Veterinario;C. Poeta Quintana, 40;Alicante;;613 06 03 34;https://clinicaveterinariaalivet.es/;4.9;0;;
Sa Riera Centro Veterinario;Veterinario;Carrer d'Eivissa, 4;Illes Balears;;871 90 47 57;http://www.sarieravet.com/;4.9;0;;
ESPAICAN Centro Canino Valencia;Adiestrador canino;Cami Vell de Russafa, S/N, Pol 31 Parc147;Valencia;;674 86 68 00;https://espaican.com/;4.9;0;;
CIAC;Tienda de productos para mascotas;Calle Fernández de Ribera, 7;41005 Sevilla;;604 91 16 82;http://www.ciacmascotas.com/;4.9;0;;
Woof Gang Bakery & Grooming Oviedo;Peluquero de mascotas;1799 E Broadway St;Estados Unidos;;+1 407-542-0080;https://www.woofgangbakery.com/pages/locations/oviedo?utm_source=google&utm_medium=gmb;4.9;0;;
Hakadogs - Adiestramiento canino en Archena, Murcia;Adiestrador canino;Diseminado Rambla del Arco, 386;Murcia;;685 64 82 41;https://www.hakadogs.com/es/adiestramiento-canino-archena;4.9;0;;
Oh My Gos Guarderia Canina;Guardería canina;Torrent de Can Mariner, 7;08031 Barcelona;;605 59 48 48;https://www.ohmygoshorta.com/ca/;4.9;0;;
Mascota 11;Peluquero de mascotas;Pje. Archanda, 7;29010 Málaga;;952 61 18 79;;4.9;0;;
Hocicos Mallorca | Guardería sin Jaulas | Desde 2012;Guardería canina;;;;697 44 62 86;http://www.hocicos.es/;4.9;0;;
Rasca y Brinca | Tienda de alimentación y accesorios para Perros y Gatos;Tienda de alimentos para animales;Av de Gijón, 76;47009 Valladolid;;614 18 66 83;https://rascaybrinca.com/;4.9;0;;
Personal Growth K9;Adiestrador canino;;;;664 19 39 75;;4.9;0;;
ADIESTRAMIENTO con SENTIDO;Adiestrador canino;C. Avellana, 1;28027 Madrid;;692 28 92 26;https://www.adiestramientoconsentido.com/;4.9;0;;
Adiestradora Canina Pontevedra;Adiestrador canino;;;;625 38 06 53;https://www.adiestradoracaninapontevedra.com/;4.9;0;;
Furever Green All-Natural Dog Boutique & Spa;Peluquero de mascotas;226 Mars Valencia Rd;Estados Unidos;;+1 724-991-9212;;4.9;0;;
Sa Indioteria Clinica Veterinaria;Veterinario;Camí Nou, 45, BAJO;Balearic Islands;;971 43 10 81;https://www.saindioteriacv.es/es/;4.9;0;;
Educanimals;Adiestrador canino;;;;634 43 16 65;https://educanimals.com/;4.9;0;;
veterinària sa palla;Veterinario;plaça del pes de sa palla 5;Balearic Islands;;635 76 91 14;;4.9;0;;
CalleMascota;Peluquero de mascotas;Carrer de Mariano Ribera, 14;Valencia;;625 23 28 70;https://www.callemascota.com/;4.9;0;;
Peluqueria canina Reguau!pos;Peluquero de mascotas;Santiago Brouard Kalea, 2;Bizkaia;;657 13 40 24;;4.9;0;;
Cris PDAE - Rabudos;Peluquero de mascotas;Peluquería Canina;Pontevedra;;698 14 02 59;https://rabudospeluqueriacanina.com/;4.9;0;;
CANINO DIVINO;Peluquero de mascotas;Calle Ben-Sahl de Sevilla;41008 Sevilla;;660 39 11 41;;4.9;0;;
Veterinaria Castillo;Veterinario;Pelícano 421;México;;+52 81 8030 7817;;4.9;0;;
La Casa de la Abuela Rosy Malaga;Hotel;C. Barcenillas, 8;29012 Málaga;;627 35 63 04;http://www.lacasadelaabuelarosy.es/;4.9;0;;
Boutique Animal;Tienda de productos para mascotas;Carrer de Jaume Lladó i Ferragut,08 Carrefour;Balearic Islands;;659 33 85 12;https://linktr.ee/boutiqueanimal;4.9;0;;
Adiestramiento Easy dog Marbella;Adiestrador canino;C. la Morera, 20;Málaga;;686 55 87 01;http://instagram.com/easydogmarbella;4.9;0;;
Como en Casa 🐕 Hostel | Guardería Canina;Guardería canina;Diseminado. Polígono, 6, Parcela 68;Balearic Islands;;659 91 67 34;;4.9;0;;
Manydogs Adiestramiento;Adiestrador canino;;;;660 54 07 44;http://www.manydogs.es/;4.9;0;;
Residencia canina El Valle;Guardería canina;Camí de Llíria a Portaceli;Valencia;;666 80 03 66;https://www.facebook.com/p/criadero-de-pastor-aleman-100022132350930/;4.9;0;;
PROTECTORA VIDA;Protectora de animales;Mirador del Cigarralejo;Murcia;;698 98 13 57;http://www.protectoravida.org/;4.9;0;;
Yeyecan;Adiestrador canino;Bda. las Posturas, 10;Málaga;;634 61 35 23;;4.9;0;;
EUROCONTROL;Refugio para animales;;;;;http://www.gatitud.org/;4.9;0;;
Seciliatus Mascotas;Tienda de reptiles;C. Virgen de Aguas Santas, 8;41011 Sevilla;;954 32 88 23;https://seciliatus.com/;4.9;0;;
Luxopet Girona;Peluquero de mascotas;Plaça de Miquel de Palol, 1;17005 Girona;;661 27 35 40;https://luxo-pet.com/girona/;4.9;0;;
peluquería canina La Dolce Vita;Peluquero de mascotas;C/ de Just Vilar, 26, bajo derecha;Valencia;;664 42 44 05;;4.9;0;;
Escuela Canina Adrican Dogtraining;Adiestrador canino;;;;633 34 44 22;https://www.adrican.com/;4.9;0;;
Estilismo Canino Alba Paton;Peluquero de mascotas;Carrer de Luis García-Berlanga Martí, 11, bajo;Valencia;;607 49 36 60;http://www.estilismocaninoalbapaton.com/;4.9;0;;
Arias peluquería canina;Tienda de animales;C. de la Palma, 68;28015 Madrid;;624 15 78 81;;4.9;0;;
Conecta Can;Adiestrador canino;;;;;https://conectacan.com/contacto/;4.9;0;;
Pets Place Mallorca;Tienda de animales;C. de Blanquerna, 27, B;Illes Balears;;971 75 61 95;http://www.petsplacemallorca.com/;4.9;0;;
Escuela Educación Canina El PARQUE;Adiestrador canino;46530 Puçol;Valencia;;615 67 30 76;;4.9;0;;
Factor Amigo (Aarón y Miguel) - Adiestramiento de Perros Zaragoza;Adiestrador canino;;;;616 15 03 31;https://factoramigo.es/?utm_source=Google%20My%20Business&utm_medium=Organico&utm_campaign=Tr%C3%A1fico%20GMB;4.9;0;;
Clínica Veterinaria Mares S.L.;Veterinario;Carrer Foglietti, 38;Alicante;;966 37 70 10;;4.9;0;;
Perros Perrones;Peluquero de mascotas;Av. 31 entre calles 18 y 20;México;;+52 271 214 7452;https://www.facebook.com/profile.php?id=100063609450526;4.9;0;;
Dogs In Town Madrid;Guardería canina;P.º de La Habana, 87;28036 Madrid;;611 83 96 40;https://dogsintown.es/;4.9;0;;
ConSentiDogs;Peluquero de mascotas;Av. de los Condes de Soto Ameno, 32;03005 Alicante;;865 71 02 16;http://www.consentidogs.es/;4.9;0;;
ZARKOCAN (Centro Canino Profesional);Adiestrador canino;Rua Ribeira, 2;Pontevedra;;609 47 86 36;https://www.instagram.com/zarkocan?igsh=MWhnc3VidGZrc2Q2Zw==;4.9;0;;
Golden Royal Stars;Guardería canina;Carrer del Riu;Valencia;;651 32 64 48;http://www.goldenroyalstars.com/;4.9;0;;
Adiestramiento Canino HOLISTICAN;Adiestrador canino;29570 Cártama;Málaga;;616 68 85 51;https://www.adiestramientocaninoholistican.com/;4.9;0;;
Chuliños Peluquería Canina;Peluquero de mascotas;Av. de Castrelos, 166;Pontevedra;;625 29 15 06;https://www.chulinhos.com/;4.9;0;;
Cave Canem;Peluquero de mascotas;Carrer del Pintor Zariñena, 18, BAJO;Valencia;;645 86 88 77;;4.9;0;;
Perro Sano;Adiestrador canino;Pg. del Taulat, 258, 5.2;08019 Barcelona;;685 06 30 66;https://tuperrosano.com/;4.9;0;;
Clínica veterinaria de Pichera;Criador canino;Carrer Doctor Constantí Gómez, 35;Valencia;;625 55 61 07;http://www.pichera.com/residencia/clinica.html;4.9;0;;
Integradogs Valencia Educación Canina a Domicilio;Adiestrador canino;Carrer 210, 6;Valencia;;697 65 97 17;http://www.integradogsvalencia.com/;4.9;0;;
Garden Veterinary Clinic;Veterinario;1479 Gene St;Estados Unidos;;+1 407-250-5000;http://gardenveterinaryclinic.com/;4.9;0;;
KH Peluqueria Canina;Peluquero de mascotas;C. de Cáceres, 48, Loc 2;28045 Madrid;;638 93 74 41;;4.9;0;;
Sebastian Abalos: Adiestramiento y Educación Canina;Adiestrador canino;;;;+54 351 270-0705;https://www.youtube.com/channel/UC-HRhXEOK8bblFfPPwEu-dw;4.9;0;;
Diéresis Animal;Adiestrador canino;;;;638 88 85 08;https://www.dieresisanimal.com/;4.9;0;;
Clínica Veterinaria Lametones;Veterinario;C. Poeta Aurora de Albornoz, 3;29010 Málaga;;951 00 70 50;;4.9;0;;
Anicartago;Guardería canina;Carretera de La Manchica Km. 3,300 LAS PALAS FUENTE ALAMO;Murcia;;629 63 67 55;http://www.anicartago.com/;4.9;0;;
Peluquería Canina Can de Chira;Peluquero de mascotas;C. del Valle de Broto, 4;50015 Zaragoza;;617 13 40 26;https://candechirapeluqueriacanina.com/;4.9;0;;
Adiestramiento EDUCAN en Zaragoza;Adiestrador canino;Pl. de San Pedro Nolasco, 1;50001 Zaragoza;;;http://www.adiestramientoeducan.com/zaragoza;4.9;0;;
Ikican: guardería canina en Madrid (Las Rosas);Guardería canina;C. San Petersburgo, 1;28022 Madrid;;672 32 76 30;https://www.ikican.es/?utm_source=google&utm_medium=organic&utm_campaign=gmb;4.9;0;;
Miscota;Tienda de productos para mascotas;Avenida de la Constitución, junto;30008 Murcia;;611 93 82 91;http://www.miscota.com/;4.9;0;;
Peludog | Peluquería Canina;Peluquero de mascotas;Nueva Torrequebrada;Málaga;;683 64 98 86;;4.9;0;;
Canipet Clínica Veterinaria;Veterinario;Carrer Daia Vella, 10;Alicante;;671 75 01 46;;4.9;0;;
Peluquería Canina en Málaga - WENDY & NEO;Peluquero de mascotas;C. Juan Antonio Tercero, 11;29011 Málaga;;674 50 80 92;https://wendyneo.es/?i=1;4.9;0;;
Centro Canino y de Adiestramiento Adicapal;Escuela;C. Martinez Ruker;14005 Córdoba;;645 47 97 26;http://www.adicapal.com/;4.9;0;;
Instint Girona;Tienda de alimentos para animales;Carrer de Pau Casals, 6;17001 Girona;;972 20 63 78;https://www.instagram.com/instint_girona/?hl=es;4.9;0;;
Multimascotas El Robles;Tienda de productos para mascotas;C. José Tallaví, n9;29014 Málaga;;951 38 12 24;;4.9;0;;
LA PERRUQUERIA MONA - Peluquería canina y felina;Peluquero de mascotas;C. Laurel, n14;30100 Murcia;;621 02 39 91;;4.9;0;;
Trebacan Educación Canina;Adiestrador canino;;;;633 96 84 42;http://www.trebacan.com/;4.9;0;;
Peluquería ALDAMA - Da vida a tus rizos;Peluquería;Harategi Zahar Kalea, 19;Bizkaia;;688 88 33 50;https://www.aldamapeluqueria.es/;4.9;0;;
D'casaumurciak9;Adiestrador canino;Autovía de Murcia, 398;Murcia;;647 20 64 14;https://dcasaumurciak9.com/;4.9;0;;
Peluquería Canina Eliane Queiroz;Peluquero de mascotas;Carrer de Lluçà, 42;08028 Barcelona;;673 78 90 08;https://www.facebook.com/Elianepelucanina/;4.9;0;;
Olé Dogo;Peluquero de mascotas;P.º de la Esperanza, 49, Loc Izq;28005 Madrid;;613 39 69 15;https://oledogo.com/;4.9;0;;
Willow's Groomer;Peluquero de mascotas;181 W Broadway St;Estados Unidos;;+1 407-603-1875;https://www.willowsgroomer.com/;4.9;0;;
Seminole Trail Animal Hospital;Veterinario;383 Vistawilla Dr;Estados Unidos;;+1 407-366-4486;https://www.seminoletrail.com/;4.9;0;;
SeguraCan;Adiestrador canino;Camí del Rebolledo, 12;Alicante;;669 74 46 62;http://www.seguracan.es/;4.9;0;;
ANIMALADAS PELUQUERIA CANINA-FELINA;Peluquero de mascotas;C. Cervantes, 24;Alicante;;965 94 38 99;https://www.facebook.com/Animaladasanjuan;4.9;0;;
Cris y Eli Peluquería Canina Vigo;Peluquero de mascotas;Rúa de Barcelona, 23, Bajo B;Pontevedra;;667 07 60 68;https://crisyelipeluqueriacanina.com/;4.9;0;;
HUELLAS ANIMAL;Peluquero de mascotas;C. Cameros, 4;29006 Málaga;;744 46 36 79;;4.9;0;;
Decans - Peluquería canina y felina;Peluquero de mascotas;Calle;Pontevedra;;665 90 60 98;https://www.decans.es/;4.9;0;;
Chuli Pets Peluquería Canina;Peluquero de mascotas;Carrer Prosperitat, 12;Alicante;;722 72 19 17;https://www.facebook.com/chulipetsdogs/;4.9;0;;
Peluquería Burbuja Dog Deusto;Peluquero de mascotas;Blas de Otero Kalea, 2 lonja, bajo 2 lonja;Biscay;;;;4.9;0;;
Yaakun Adiestramiento Canino Valencia;Adiestrador canino;Partida Cañada Jacinto 190, Polígono 8;Valencia;;639 26 41 91;http://www.grupoyaakun.com/;4.9;0;;
Pels Pèls;Peluquero de mascotas;Carrer de Còrsega, 612;08025 Barcelona;;934 35 69 21;https://www.facebook.com/ppels/;4.9;0;;
Clínica Veterinaria Campo Volantín | MiVet;Veterinario;Uriortu Kalea, 9;Bizkaia;;944 46 53 33;https://mivet.com/clinica-veterinaria-campo-volantin-bilbao/?utm_source=GoogleMaps&utm_medium=MyBusiness;4.9;0;;
Adecan Córdoba centro canino;Adiestrador canino;Alcaide Parcelas 14005;Córdoba;;;http://www.adecancentrocanino.com/;4.9;0;;
LUNACAN (tienda de alimentación para mascotas y adiestrador canino profesional en San Jose de la Rinconada);Adiestrador canino;C. Miguel Servet, n°11, C;Sevilla;;690 91 81 02;http://www.lunacan.es/;4.9;0;;
Animalitos;Peluquero de mascotas;Carrer de la Rutlla, 35;17002 Girona;;972 21 21 30;https://animalitos.es/;4.9;0;;
Patitas & co;Tienda de productos para mascotas;Calle de Fuencarral, 156;28010 Madrid;;672 72 63 06;https://patitasco.com/;4.9;0;;
Guaw Vigo Gran Vía;Tienda de animales;Gran Vía;Pontevedra;;886 06 30 45;https://www.guaw.com/;4.9;0;;
Clínica Veterinaria Benacantil;Veterinario;C/ Arquitecto Guardiola, 25, Bajo;03007 Alicante;;611 88 19 88;https://www.veterinariabenacantil.com/;4.9;0;;
Veterinaria Gamma;Cuidados veterinarios;Av Zaragoza 103;México;;+52 614 407 6335;;4.9;0;;
Arcanes Entrenamiento y Psicología Canina;Adiestrador canino;Av. de la Plata, 111, bajo;Valencia;;695 72 44 95;https://arcanes.com.es/;4.9;0;;
Centro De Cría Mascotalor;Criador canino;Cam. del Puente Alto, 116;Murcia;;623 22 42 97;http://www.mascotalor.es/;4.9;0;;
Clínica Veterinaria AMETS;Veterinario;C. México, 27, local 1;03008 Alicante;;640 07 29 06;http://cvamets.com/;4.9;0;;
Happy Guau - Adiestramiento Canino;Adiestrador canino;Calle Dr. Gadea, 23;Alicante;;644 28 98 57;https://happyguau.es/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business;4.9;0;;
Estilistas Caninos Thai;Peluquero de mascotas;C. José Antonio Camacho, 6;Murcia;;;;4.9;0;;
ADIESTRA KANINO SEVILLA;Adiestrador canino;Norte;41015 Sevilla;;669 55 23 02;http://tiktok.com/@adiestrakaninossevilla;4.9;0;;
Aratinga Peluqueria Canina;Peluquero de mascotas;C/ d'Alboraia, 55;Valencia;;963 38 99 07;https://aratingapeluqueria.com/;4.9;0;;
OH MY DOG! Palma Peluquería canina y guarderia;Peluquero de mascotas;C. del Roser, 10;Illes Balears;;658 26 19 56;;4.9;0;;
I Love Dog Wash | Zaragoza - Autolavado de mascotas;Peluquero de mascotas;C. de Manuel Lasala, 32;50006 Zaragoza;;614 19 54 39;https://ilovedogwash.com/;4.8;0;;
Días Perros;Guardería canina;C. de la Isla de Oza, 59;28035 Madrid;;747 42 94 20;https://diasperros.com/;4.8;0;;
Masterofcanes - educación y adiestramiento canino Valencia;Adiestrador canino;Carrer de Joaquín Costa, 50;Valencia;;;http://www.masterofcanes.com/;4.8;0;;
Albergue Municipal Animales Abandonados;Protectora de animales;Cam. del Cementerio;Murcia;;625 98 76 62;http://www.cuatropatasjumilla.com/;4.8;0;;
Clinica Millán;Fisioterapeuta;Av. de Jacinto Benavente, 9;29014 Málaga;;951 88 16 13;;4.8;0;;
Dog City - La ciudad soñada para tu perro;Guardería canina;Av. del Pintor Joaquín Sorolla, 51;29016 Málaga;;623 71 85 17;https://dogcity.es/?utm_campaign=GMB&utm_source=gmb&utm_medium=gmb;4.8;0;;
HUESITOS, Centro Canino de Estética;Guardería canina;C. Ángela Romero de Torres, 5;14010 Córdoba;;696 71 10 90;https://www.instagram.com/huesitos_centro_canino/;4.8;0;;
Veterinaria Piolín;Cuidados veterinarios;Lic. Gavino Vazquez 429-VD;México;;+52 658 516 6728;;4.8;0;;
Zona ZECA - Parque Canino;Parque para perros;C. Escritor Francisco Alemán Sainz, 14E;30009 Murcia;;;http://www.murcia.es/;4.8;0;;
CARING DOG Nuevo Torneo;Tienda de productos para mascotas;Polígono Industrial Nuevo Torneo Calle Astronomía Local N 16 Y 18;41015 Sevilla;;955 35 85 38;http://www.caringdog.com/;4.8;0;;
Dogycat Clinica Veterinaria Cd. Juárez;Veterinario;Blvrd Francisco Villarreal Torres 3720-6;México;;+52 656 687 2491;;4.8;0;;
Peluqueria canina 4 patas san isidro valencia;Peluquería;Carrer de José Andreu Alabarta, 35;Valencia;;657 82 06 42;;4.8;0;;
Veterinari Establiments;Veterinario;Camí de Can Pau Cella, 2;Illes Balears;;971 01 73 62;http://www.veterinario-establiments.com/;4.8;0;;
Centro Oftalmológico Veterinario Vission;Hospital veterinario;Avenida el;Asturias;;984 48 46 54;http://www.vissionvet.es/;4.8;0;;
Los Perruqueros De Arganzuela;Peluquero de mascotas;C. del Laurel, 33;28005 Madrid;;686 50 68 48;https://www.losperruqueros.com/;4.8;0;;
Clínica Veterinaria Miraflores del Palo;Veterinario;C. Francisco Guillón, 11;29017 Málaga;;952 29 05 88;http://www.veterinariamiraflores.com/;4.8;0;;
Peluqueria canina Sevilla este;Peluquero de mascotas;Calle Cueva del gato 6, local 17A;Sevilla;;656 90 03 67;;4.8;0;;
Peluquería canina Gálata Madrid Río;Peluquero de mascotas;Cl. del Mármol, 3;28005 Madrid;;624 65 65 12;;4.8;0;;
Marina Vázquez Perruquería i Benestar Animal;Peluquero de mascotas;Puesto Exterior) Mercado Benicalap;Valencia;;673 20 03 61;;4.8;0;;
Lake Baldwin Dog Park;Parque para perros;1864-2018 S Lakemont Ave;Estados Unidos;;+1 407-599-3334;https://cityofwinterpark.org/departments/parks-recreation/parks-playgrounds/parks/lake-baldwin-park/;4.8;0;;
Pupis Perrupis Servicios Veterinarios;Veterinario;Blvd. Zaragoza 666-Loc 17;México;;+52 656 458 3837;;4.8;0;;
Guardería HUELLITAS;Guardería canina;Turó Rodó, 1;Barcelona;;638 91 29 74;;4.8;0;;
Styl Dog;Peluquero de mascotas;Av. de Pablo Gargallo, 17;50003 Zaragoza;;976 43 52 26;;4.8;0;;
Peluquería canina Cocofany - Baño y corte en valencia;Peluquero de mascotas;Carrer del Pintor Rafael Solbes, 1;Valencia;;642 70 38 35;;4.8;0;;
Pichichus: Peluqueria Canina en Mallorca;Peluquero de mascotas;Carrer de Miquel Arcas, 1, Loc 5;Balearic Islands;;673 08 65 47;http://www.pichichus.com/;4.8;0;;
Luxury Dog Peluquería de mascotas;Peluquero de mascotas;C. del Idioma Esperanto, 11;28017 Madrid;;640 12 96 71;https://luxurydog.es/;4.8;0;;
Can Patas Mallorca;Protectora de animales;Camí de ses Erasses;Illes Balears;;665 02 35 10;https://www.canpatas.com/;4.8;0;;
Cris perruqueria canina i felina;Peluquero de mascotas;Carrer del Torrent de l'Olla, 194;08012 Barcelona;;607 57 56 88;https://www.facebook.com/Cris-Perruqueria-Canina-i-Felina-2003897479845294;4.8;0;;
Akindi Bizkaia - Adiestramiento canino;Adiestrador canino;Bº GARAY 56;Biscay;;669 00 61 71;https://akindi.es/adiestramiento-y-educacion-canina-en-bizkaia/?utm_source=seolocal&utm_medium=adiestramiento-bizkaia&utm_campaign=web;4.8;0;;
Vicente Busquets Castañer;Veterinario;Camí Nou, 45;Illes Balears;;971 43 10 81;http://www.saindioteriacv.es/es/;4.8;0;;
Centro Canino Mar Menor;Adiestrador canino;Pje. lo Tahonero;Murcia;;690 03 22 33;;4.8;0;;
Chokolino Peluquería Canina;Peluquero de mascotas;C. Foncalada, 13;Asturias;;678 02 81 28;;4.8;0;;
Cornerstone Veterinary Center;Veterinario;855 E State Rd 434 #1105;Estados Unidos;;+1 407-604-3043;https://www.cornerstonevetcenter.com/;4.8;0;;
MAR Apartments;Hotel;C. del Sargo, 9;03540 Alicante;;699 65 34 56;http://www.marapartments.es/;4.8;0;;
Animalia Iñigo;Tienda de productos para mascotas;C. Francisco Jiménez Lomas, 4;29004 Málaga;;609 53 09 07;;4.8;0;;
Animal dreams;Peluquero de mascotas;Carrer de Berenguer de Sant Joan, 3;Illes Balears;;871 04 81 25;;4.8;0;;
Centro Veterinario Monsalvez;Veterinario;C. Mercedes Formica, Loc 1 y 2;Málaga;;952 62 36 98;;4.8;0;;
Clinica Veterinaria Elda 13;Cuidados veterinarios;C. Elda, 13;03012 Alicante;;627 03 48 60;http://www.clinicaelda13.hyla.es/;4.8;0;;
Suites Machado;Apartamento turístico;C. Fabiola, 9;41004 Sevilla;;696 67 34 96;http://www.suitesmachado.com/;4.8;0;;
La Pastora;Peluquero de mascotas;C. Martínez Barrionuevo, 5;29014 Málaga;;630 10 58 56;https://www.facebook.com/LaPastoraBellezaCanina;4.8;0;;
Clínica Veterinaria Izar;Veterinario;Calle viuda de Epalza 10;Biscay;;944 15 12 70;;4.8;0;;
Peluquería Canina Styl Can;Peluquero de mascotas;Carrer del Marquès de Bellet, 54;Valencia;;963 77 05 17;;4.8;0;;
Can Quel dels Alls;Alojamiento con servicio;Carr. de Palamós, 22;Girona;;680 93 71 65;https://www.canqueldelsalls.cat/;4.8;0;;
La Comuna Apartments;Hotel;Carrer de la Barca, 34;17004 Girona;;638 67 39 03;http://www.bondiaresidences.com/la-comuna;4.8;0;;
Bonivet Veterinarios;Cuidados veterinarios;C. José Calderón, 74B;29590 Málaga;;618 91 29 81;https://www.instagram.com/bonivetveterinarios/?hl=es%20%20https://www.facebook.com/bonivetveterinarios/;4.8;0;;
Barber Dog;Peluquero de mascotas;Rotonda de Suárez, N88, local 18;29011 Málaga;;642 44 25 53;;4.8;0;;
Peluquería Canina Can Bau;Peluquero de mascotas;Carrer de Girona, 101;08009 Barcelona;;693 99 45 12;https://www.instagram.com/peluqueriacaninacanbau/;4.8;0;;
InterAnimals - Alejandra Gomes d'Amaral;Adiestrador canino;C/ d'Alboraia, s/n;Valencia;;620 26 84 06;https://alejandragomesdamaral.com//;4.8;0;;
Dogsbid;Adiestrador canino;;;;663 14 17 10;https://www.instagram.com/dogsbid?igsh=ZHV6dnl0N2NiYTd6;4.8;0;;
CLÍNICA VETERINARIA Puerto De La Torre;Veterinario;Av. Manuel Rodríguez, 1;29190 Málaga;;624 25 35 59;;4.8;0;;
Olfacanes;Guardería canina;Cam. de Bollullos;Sevilla;;687 01 75 44;https://olfacanes.es/;4.8;0;;
Ca Sa Nina LIBRES Y FELICES COMO EN CASA;Guardería canina;39.6160228, 2.8653160;Balearic Islands;;641 37 39 76;https://casaninadogs.wixsite.com/casaninadogs;4.8;0;;
Cuidadora de mascotas Valencia;Cuidador de mascotas;;;;;https://cuidadoracanina.godaddysites.com/;4.8;0;;
